Sit-and-Reach;;;Knee to wall;;;2min Sit-up;;;Push-up;;;;;;;;Illinois Agility;;;;Y-BLANCE;;;BLEEP;;;;;;;;
Cm;Score;;cm;Score;;score;Norm;;Age;Poor;Below Avg;Average;Good;Very good ;Excellent;;;time;rating;;Not completed;Not completed;;Age;Not completed;Very poor;Poor;Fair;Average;Good;Very good;Excellent
0;Poor;;0;bad;;0;Very poor;;13;0;8;14;20;25;31;;14;17;Excellent;;0;Not completed;;13;0;1;2,6;3,6;5,2;6,2;7,5;9,3
16,1;Fair;;12,5;good;;36,1;Poor;;14;0;9;15;21;26;32;;16,9;17,9;Above Average;;1;High risk;;14;0;1;3,3;5,3;6,5;7,6;8,8;10,7
21,1;Good;;30;;;50,1;below average;;15;0;10;16;22;27;33;;18;21,7;Average;;95,6;Low risk;;16;0;1;4,2;5,7;7,2;8,5;9,8;11,1
25,1;Very Good;;;;;58,1;average;;16;0;11;17;23;28;34;;21,8;22,9;Below Average;;120;Very low risk;;18;0;1;4,5;5,8;7,3;8,7;10,2;12,7
29,1;Excellent;;;;;66,1;above average;;17;0;12;18;24;30;36;;23;60;Poor;;;;;;;;;;;;;
60,1;Test,;;;;;74,1;Good;;18;0;12;18;25;30;36;;;;;;;;;;;;;;;;;
;;;;;;86;excellent;;;;;;;;;;;;not completed;;;;;DISTANCE RUN;;;;;;;;
;;;;;;100;;;;;;;;;;;;14;Excellent;;;;;Age ;Not completed;Very poor ;Poor ;Fair ;Average;Good ;Very good ;Excellent
;;;;;;;;;;;;;;;;;;16,9;Above Average;;;;;13;0;1;260;420;680;860;1120;1500
;;;;;;;;;;;;;;;;;;18;Average;;;;;14;0;1;360;700;920;1380;1380;1800
;;;;;;;;;;;;;;;;;;21,8;Below Average;;;;;16;0;1;500;780;1060;1600;1600;2080
;;;;;;;;;;;;;;;;;;23;Poor;;;;;18;0;1;560;800;1080;1700;1700;2260
;;;;;;;;;;;;;;;;;;60;Poor;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
