BLEEP;;;
Level (L);Shuttle (S);Distance Run;VO2max
0;0;0;0
1;1;20;16
1;2;40;17
1;3;60;17
1;4;80;18
1;5;100;18
1;6;120;18
1;7;140;19
2;1;160;20
2;2;180;20
2;3;200;20
2;4;220;21
2;5;240;21
2;6;260;22
2;7;280;22
2;8;300;23
3;1;320;23
3;2;340;23
3;3;360;24
3;4;380;24
3;5;400;25
3;6;420;25
3;7;440;25
3;8;460;26
4;1;480;26
4;2;500;27
4;3;520;27
4;4;540;28
4;5;560;28
4;6;580;28
4;7;600;29
4;8;620;29
4;9;640;30
5;1;660;30
5;2;680;30
5;3;700;31
5;4;720;31
5;5;740;31
5;6;760;32
5;7;780;32
5;8;800;33
5;9;820;33
6;1;840;33
6;2;860;34
6;3;880;34
6;4;900;34
6;5;920;35
6;6;940;35
6;7;960;35
6;8;980;36
6;9;1000;36
6;10;1020;37
7;1;1040;37
7;2;1060;37
7;3;1080;37
7;4;1100;38
7;5;1120;38
7;6;1140;38
7;7;1160;39
7;8;1180;39
7;9;1200;40
7;10;1220;40
8;1;1240;40
8;2;1260;41
8;3;1280;41
8;4;1300;41
8;5;1320;42
8;6;1340;42
8;7;1360;42
8;8;1380;43
8;9;1400;43
8;10;1420;43
8;11;1440;44
9;1;1460;44
9;2;1480;44
9;3;1500;44
9;4;1520;45
9;5;1540;45
9;6;1560;45
9;7;1580;46
9;8;1600;46
9;9;1620;46
9;10;1640;47
9;11;1660;47
10;1;1680;47
10;2;1700;47
10;3;1720;48
10;4;1740;48
10;5;1760;48
10;6;1780;49
10;7;1800;49
10;8;1820;49
10;9;1840;50
10;10;1860;50
10;11;1880;50
11;1;1900;51
11;2;1920;51
11;3;1940;51
11;4;1960;51
11;5;1980;52
11;6;2000;52
11;7;2020;52
11;8;2040;53
11;9;2060;53
11;10;2080;53
11;11;2100;53
11;12;2120;54
12;1;2140;54
12;2;2160;54
12;3;2180;55
12;4;2200;55
12;5;2220;55
12;6;2240;55
12;7;2260;56
12;8;2280;56
12;9;2300;56
12;10;2320;57
12;11;2340;57
12;12;2360;57
13;1;2380;57
13;2;2400;58
13;3;2420;58
13;4;2440;58
13;5;2460;59
13;6;2480;59
13;7;2500;59
13;8;2520;59
13;9;2540;60
13;10;2560;60
13;11;2580;60
13;12;2600;60
13;13;2620;61
14;1;2640;61
14;2;2660;61
14;3;2680;61
14;4;2700;62
14;5;2720;62
14;6;2740;62
14;7;2760;62
14;8;2780;63
14;9;2800;63
14;10;2820;63
14;11;2840;64
14;12;2860;64
14;13;2880;64
15;1;2900;64
15;2;2920;65
15;3;2940;65
15;4;2960;65
15;5;2980;65
15;6;3000;66
15;7;3020;66
15;8;3040;66
15;9;3060;66
15;10;3080;67
15;11;3100;67
15;12;3120;67
15;13;3140;67
16;1;3160;68
16;2;3180;68
16;3;3200;68
16;4;3220;69
16;5;3240;69
16;6;3260;69
16;7;3280;69
16;8;3300;70
16;9;3320;70
16;10;3340;70
16;11;3360;70
16;12;3380;71
16;13;3400;71
16;14;3420;71
17;1;3440;71
17;2;3460;72
17;3;3480;72
17;4;3500;72
17;5;3520;72
17;6;3540;72
17;7;3560;73
17;8;3580;73
17;9;3600;73
17;10;3620;73
17;11;3640;74
17;12;3660;74
17;13;3680;74
17;14;3700;74
18;1;3720;75
18;2;3740;75
18;3;3760;75
18;4;3780;75
18;5;3800;76
18;6;3820;76
18;7;3840;76
18;8;3860;76
18;9;3880;77
18;10;3900;77
18;11;3920;77
18;12;3940;77
18;13;3960;78
18;14;3980;78
18;15;4000;78
19;1;4020;78
19;2;4040;78
19;3;4060;79
19;4;4080;79
19;5;4100;79
19;6;4120;79
19;7;4140;80
19;8;4160;80
19;9;4180;80
19;10;4200;80
19;11;4220;80
19;12;4240;81
19;13;4260;81
19;14;4280;81
19;15;4300;81
20;1;4320;82
20;2;4340;82
20;3;4360;82
20;4;4380;82
20;5;4400;83
20;6;4420;83
20;7;4440;83
20;8;4460;83
20;9;4480;83
20;10;4500;84
20;11;4520;84
20;12;4540;84
20;13;4560;84
20;14;4580;84
20;15;4600;85
20;16;4620;85
21;1;4640;85
21;2;4660;85
21;3;4680;86
21;4;4700;86
21;5;4720;86
21;6;4740;86
21;7;4760;86
21;8;4780;87
21;9;4800;87
21;10;4820;87
21;11;4840;87
21;12;4860;87
21;13;4880;88
21;14;4900;88
21;15;4920;88
21;16;4940;88
